               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069246,            0.023201,            0.044918,             0.25503,             0.58962,              0.3045,             0.18061,            0.033148,           0.0080999,            0.040111,            0.070173,           0.0033141,           0.0033141
                   1,            0.041754,            0.013663,            0.038887,             0.40575,             0.65006,             0.49096,              0.2486,            0.033795,           0.0051776,            0.031208,            0.040042,           0.0065158,           0.0065158
                   2,            0.037577,            0.010638,            0.032689,             0.47403,             0.70459,             0.61203,             0.35195,            0.030442,           0.0041112,            0.028175,           0.0097782,           0.0095855,           0.0095855
                   3,            0.032969,           0.0099219,            0.029726,             0.55913,             0.72671,             0.65356,             0.48953,            0.022557,            0.004576,            0.034071,            0.009406,            0.009406,            0.009406
                   4,            0.030293,           0.0090999,            0.027179,             0.59974,             0.72534,             0.75206,             0.55601,            0.021873,           0.0044125,             0.02553,            0.009406,            0.009406,            0.009406
                   5,            0.026576,           0.0085039,            0.025302,             0.77454,             0.78398,             0.84999,             0.61915,            0.021079,           0.0038046,            0.021966,            0.009208,            0.009208,            0.009208
                   6,            0.025941,           0.0081212,            0.024143,             0.74022,             0.74918,             0.82723,             0.60213,            0.021063,           0.0039616,            0.022449,             0.00901,             0.00901,             0.00901
                   7,            0.025072,            0.007734,            0.022186,             0.81529,             0.80975,             0.87562,             0.68901,            0.020703,           0.0036412,              0.0163,            0.008812,            0.008812,            0.008812
